Gender,Year of birth,Where were you born,Height,Height father,Height mother,Bed time,Waking up time,Breakfast,Commute today,Commute yesterday,Glasses,Number of books per month,Pets,Brothers,Sisters,Exercise,Gym,Running,Hours Slept
Male,2003,Derbyshire,5 ft 11,6 ft 0,5 ft 5,1:36,8:20,Yes,20,20,No,2,I like both,1,1,5,5,0,6.73
Male,2001,I am not born in the UK,180 cm,NA,NA,22:00,6:30,Yes,15,15,Yes,2,I like both,2,2,3,0,0,8.5
Male,1983,Wiltshire,6 ft 0,5 ft 10,5 ft 9,22:45,6:15,Yes,35,25,No,3,I like both,0,1,3,2,1,7.5
Male,2001,I am not born in the UK,5 ft 8,5 ft 9,5 ft 5,22:07,7:00,Yes,2,3,No,1,Dogs,0,1,8,5,3,8.88
Female,2001,Northumberland,5 ft 3,5 ft 7,5 ft 5,2:30,11:00,No,10,10,Yes,0,I like both,0,0,1,0,0,8.5
Female,2001,I am not born in the UK,154 cm,NA,160 cm,22:00,9:00,Yes,5,5,Yes,1,Cats,1,1,3,0,0,11
Female,1997,I am not born in the UK,170 cm,185 cm,175 cm,1:00,7:00,Yes,45,45,No,1,I like both,1,0,7,2,3,6
Male,1998,I am not born in the UK,183 cm,177 cm,178 cm,3:37,7:42,Yes,35,20,Yes,1,I like both,1,0,1,0,0,4.08
Female,1998,I am not born in the UK,156 cm,NA,162 cm,1:00,8:30,Yes,15,15,No,10,I like both,0,0,4,0,0,7.5
Male,2002,Northamptonshire,5 ft 11,6 ft 1,5 ft 4,2:05,10:09,No,20,25,Yes,1,Dogs,1,0,3,0,0,8.07
Male,2003,South Yorkshire,5 ft 7,6 ft,5 ft 4,1:00,10:00,Yes,20,20,No,1,Cats,0,1,5,0,0,9
Female,2002,Greater London,173 cm,6 ft 4,5 ft 7,1:30,9:30,No,15,15,No,1,Dogs,1,0,1,0,0,8
Female,2002,I am not born in the UK,5 ft 7,5 ft 8,5 ft 4,23:00,9:44,No,20,20,Yes,1,Cats,1,0,3,1,2,10.73
Female,2001,I am not born in the UK,5 ft 4,6 ft 1,5 ft 3,0:30,10:00,Yes,16,16,No,1,Dogs,0,2,4,1,0,9.5
Male,2019,I am not born in the UK,6 ft 3,6 ft 0,5 ft 8,3:30,7:30,No,7,8,Yes,3,Dogs,0,1,4,4,0,4
Female,2000,I am not born in the UK,167 cm,NA,NA,23:50,9:00,Yes,15,15,Yes,2,I like both,1,1,10,7,0,9.17
Female,2002,Devon,5 ft 5,5 ft 10,5 ft 8,0:30,8:00,Yes,10,10,No,1,I like both,0,3,3,0,0,7.5
Female,2003,Buckinghamshire,5 ft 3,NA,NA,23:00,7:30,Yes,20,20,No,0,I like both,1,0,3,3,0,8.5
Male,1998,Cornwall,186 cm,180 cm,170 cm,23:15,7:25,Yes,35,30,Yes,1,I like both,2,0,7,3,2,8.17
Female,2000,I am not born in the UK,161 cm,189 cm,146 cm,0:00,7:30,No,35,1,No,1,Cats,2,3,10,5,2,7.5
Male,2002,Medway,6 ft 1,6 ft 0,5 ft 4,23:15,7:45,Yes,14,14,No,1,I like both,0,1,5,0,2,8.5
