bird.no,sample.type,head.length,midpiece.length,tail.length,total.length
12,pvl,9.95,29.45,29.73,69.13
12,pvl,9.82,29.5,29.86,69.18
12,pvl,9.61,30.15,29.74,69.5
12,pvl,10.17,27.29,32.09,69.55
12,pvl,10.21,29.38,30.02,69.61
12,pvl,9.62,29.24,31.59,70.45
12,pvl,10.38,27.43,31.04,70.85
12,pvl,10.37,29.62,30.88,70.87
12,pvl,9.89,31.5,29.04,71.43
12,pvl,10.18,31.38,30.01,71.57
12,pvl,10.39,31.16,30.38,71.93
12,pvl,9.92,30.19,32.09,72.2
12,pvl,9.98,31.49,30.94,72.41
12,pvl,10.1,31.53,31.26,72.89
13,faecal,10.63,33.59,16.24,60.46
13,faecal,10.84,34.18,16.35,61.37
13,faecal,11.35,30.05,23.46,64.86
13,faecal,11.29,30.1,23.6,64.99
13,faecal,10.54,37.44,18.9,66.88
13,faecal,11.07,33.05,22.81,66.93
13,faecal,10.55,37.32,19.21,67.08
13,faecal,11.21,33.35,22.6,67.16
13,faecal,9.94,37.69,22.53,70.16
13,faecal,9.78,38.1,22.49,70.37
13,pvl,9.91,29.95,22.97,62.83
13,pvl,9.89,30.44,22.99,63.32
13,pvl,10.89,30.39,22.14,63.42
13,pvl,10.7,30.57,22.88,64.15
13,pvl,10.69,30.05,23.46,64.2
13,pvl,10.72,30.12,23.44,64.28
13,pvl,10.65,30.22,23.45,64.32
13,pvl,10.71,30.11,23.6,64.42
13,pvl,10.88,30.1,23.6,64.58
13,pvl,9.95,31.2,23.52,64.67
13,pvl,10.55,30.88,23.31,64.74
13,pvl,11.05,30.18,23.59,64.82
13,pvl,10.6,31.53,22.81,64.94
13,pvl,10.58,31.03,23.33,64.94
13,pvl,10.54,31.08,23.54,65.16
13,pvl,10.92,30.7,23.68,65.3
13,pvl,10.77,30.79,23.87,65.43
13,pvl,10.74,31.56,23.49,65.79
13,pvl,10.73,31.81,23.65,66.19
14,faecal,9.92,27.93,19.4,57.25
14,faecal,10.09,32.69,15.74,58.52
14,faecal,10.1,33.33,15.94,59.37
14,faecal,10.03,31.71,17.8,59.54
14,faecal,9.98,31.76,18.28,60.02
14,faecal,11.05,25.37,23.76,60.18
14,faecal,10.76,27.44,22.68,60.88
14,faecal,10.24,35.8,14.96,61
14,faecal,11.29,24.95,24.8,61.04
14,faecal,10.32,36.64,14.78,61.74
14,pvl,9.99,24.35,23.22,57.56
14,pvl,9.91,25.63,22.43,57.97
14,pvl,10,24.88,23.85,58.73
14,pvl,9.97,25.08,23.78,58.83
14,pvl,10.12,25.11,23.87,59.1
14,pvl,10.07,25.15,25.55,59.77
14,pvl,10.34,24.52,24.91,59.77
14,pvl,10.02,25.64,24.13,59.79
14,pvl,9.95,25.03,24.91,59.89
14,pvl,10.06,26.94,23.78,60.78
14,pvl,9.87,26.89,24.17,60.93
14,pvl,10.08,27.22,24.1,61.4
15,faecal,10.41,27.88,25.02,63.31
15,faecal,10.59,28.28,25.33,64.2
15,faecal,11.53,26.75,28.99,67.27
15,faecal,11.5,26.84,29.03,67.37
15,faecal,10.73,27.09,31.11,68.93
15,faecal,10.51,30.69,27.83,69.03
15,faecal,10.65,30.52,28.15,69.32
15,faecal,10.66,27.38,31.31,69.35
15,faecal,10.63,25.09,33.68,69.4
15,faecal,10.82,25.39,33.4,69.61
15,pvl,10.77,20.13,26.84,57.74
15,pvl,10.55,27.66,28.09,63.3
15,pvl,10.7,27.52,25.64,63.86
15,pvl,10.35,28.21,25.9,64.46
15,pvl,10.35,27.79,26.43,64.57
15,pvl,10.65,27.61,28.49,64.75
15,pvl,10.58,28.04,26.16,64.78
15,pvl,10.51,29.5,25.42,65.43
15,pvl,10.38,28.65,26.63,65.66
15,pvl,10.62,27.82,27.38,65.82
15,pvl,10.42,25.83,28.62,65.87
15,pvl,10.41,28.61,28.68,66.7
15,pvl,10.66,25.65,28.41,66.72
15,pvl,10.31,27.54,28.97,66.82
15,pvl,10.66,29.46,26.72,66.84
15,pvl,10.63,29.82,26.49,66.94
15,pvl,10.47,29.15,27.35,66.97
15,pvl,10.52,28.81,28.03,67.36
15,pvl,10.81,28.68,28.13,67.62
15,pvl,10.55,27.23,28.07,67.85
15,pvl,10.46,29.82,27.59,67.87
15,pvl,10.4,29.16,28.38,67.94
15,pvl,10.58,28.65,26.9,68.13
15,pvl,10.32,30.4,27.43,68.15
15,pvl,10.63,29.44,28.33,68.4
15,pvl,10.62,29.77,28.27,68.66
15,pvl,10.51,30.6,27.83,68.94
15,pvl,10.39,30.4,28.28,69.07
15,pvl,10.73,29.51,28.92,69.16
16,faecal,9.6,21.68,38.85,70.13
16,faecal,9.39,21.77,39.2,70.36
16,faecal,9.08,24.53,36.94,70.55
16,faecal,9.12,25.18,36.69,70.99
16,faecal,9.03,20.84,41.52,71.39
16,faecal,9,25.94,37.02,71.96
16,faecal,9.24,20.56,42.3,72.1
16,faecal,8.98,26.07,37.08,72.13
16,faecal,9.28,26.76,36.87,72.91
16,faecal,9.25,26.98,36.74,72.97
16,pvl,9,25.87,36.4,71.27
16,pvl,9.01,25.65,36.66,71.32
16,pvl,9.1,25.58,36.73,71.41
16,pvl,9.09,25.64,36.69,71.42
16,pvl,9.12,25.77,37.03,71.92
16,pvl,9.05,25.22,37.81,72.08
16,pvl,9.02,26.95,36.12,72.09
16,pvl,8.95,26.34,36.89,72.18
16,pvl,9.13,26.48,37.04,72.65
16,pvl,8.98,26.88,36.9,72.76
16,pvl,8.99,26.5,37.73,73.22
16,pvl,9.15,27.11,36.97,73.23
16,pvl,9,27.05,37.33,73.38
16,pvl,9.12,26.98,37.79,73.89
17,faecal,9.92,25.69,29.1,64.71
17,faecal,10.01,26.28,29.46,65.75
17,faecal,9.78,27.25,31.84,68.87
17,faecal,9.89,27.05,32.12,69.06
17,faecal,10.84,24.96,33.67,69.47
17,faecal,10.08,30.04,30.02,70.14
17,faecal,10.78,25.17,34.51,70.46
