bird.no,sample.type,head.length,midpiece.length,tail.length,total.length
26,pvl,11.08,27.1,31.83,70.01
26,pvl,11.02,31.55,27.49,70.06
26,pvl,10.92,28.19,31.69,70.8
26,pvl,11.08,28.22,31.66,70.96
26,pvl,10.9,28.98,31.38,71.26
26,pvl,10.9,29.12,31.71,71.73
26,pvl,11.03,29.03,31.7,71.76
26,pvl,11.03,29.88,30.96,71.87
26,pvl,11.02,30.22,30.98,72.22
26,pvl,11,30.11,31.11,72.22
26,pvl,11.1,30.5,30.71,72.31
26,pvl,10.95,29.89,31.93,72.77
27,faecal,10.65,27.13,31.3,69.08
27,faecal,10.58,27.36,31.67,69.61
27,faecal,10.31,28.64,31.49,70.44
27,faecal,10.4,28.86,31.5,70.76
27,faecal,10.77,21.96,39.57,72.3
27,faecal,10.55,22.37,39.47,72.39
27,faecal,10.09,26.1,36.65,72.84
27,faecal,10.12,25.96,36.84,72.92
27,faecal,10.43,27.45,36.2,74.08
27,faecal,10.39,27.4,36.31,74.1
27,pvl,10.06,27.45,31.4,68.91
27,pvl,10.06,28.15,31.04,69.25
27,pvl,10.05,27.95,31.25,69.25
27,pvl,10.1,27.9,31.55,69.55
27,pvl,10.1,27.49,32.05,69.64
27,pvl,10.18,27.89,31.67,69.74
27,pvl,10.13,28.37,31.35,69.85
27,pvl,10.12,28.11,31.77,70
27,pvl,10.15,28.05,31.82,70.02
27,pvl,10.2,28.15,31.88,70.23
27,pvl,10.15,28.35,31.8,70.3
27,pvl,10.25,28.9,31.44,70.59
27,pvl,10.01,28.4,32.33,70.74
27,pvl,10.14,28.88,31.98,71
27,pvl,10.09,28.99,32.1,71.18
