fid,id,row_index,col_index,n,distance_river,distance_waterhole,area,density
"113","7144","87","63","0","17.847","6.511",86.6025403784447,0
"114","7145","88","63","0","27.613","10.201",86.6025403784332,0
"115","7146","89","63","0","36.005","3.64",86.602540378437,0
"116","7147","90","63","1","26.086","7.782",86.6025403784466,0.012
"117","7148","91","63","1","16.266","16.32",86.6025403784428,0.012
"118","7149","92","63","1","6.928","25.593",86.6025403784389,0.012
"119","7150","93","63","4","0.897","30.274",86.6025403784523,0.046
"120","7151","94","63","0","3.34","20.82",86.6025403784409,0
"121","7152","95","63","1","8.891","11.177",86.6025403784332,0.012
"122","7153","96","63","2","0.394","4.068",86.602540378437,0.023
"123","7154","97","63","0","10.067","4.528",86.6025403784428,0
"124","7155","98","63","0","19.192","10.55",86.6025403784389,0
"125","7156","99","63","0","27.174","13.137",41.6249216338673,0
"126","7251","82","64","0","27.221","8.806",19.9985783606186,0
"127","7252","83","64","0","21.984","0.692",55.708744853508,0
"128","7253","84","64","0","14.567","4.317",84.4658095456848,0
"129","7254","85","64","0","4.871","5.912",86.6025403784409,0
"130","7255","86","64","0","4.114","10.975",86.6025403784485,0
"131","7255","86","64","0","4.114","10.975",86.6025403784485,0
"132","7256","87","64","0","13.902","6.536",86.6025403784485,0
"133","7257","88","64","0","23.82","3.616",86.6025403784447,0
"134","7258","89","64","0","33.786","9.811",86.6025403784409,0
"135","7259","90","64","0","30.025","1.246",86.6025403784447,0
"136","7260","91","64","0","20.342","9.541",86.6025403784447,0
"137","7261","92","64","0","10.344","15.601",86.6025403784409,0
"138","7262","93","64","2","0.382","22.723",86.6025403784447,0.023
"139","7263","94","64","0","6.481","28.425",86.6025403784447,0
"140","7264","95","64","0","11.209","19.926",86.6025403784447,0
"141","7265","96","64","0","6.323","9.939",86.6025403784409,0
"142","7266","97","64","1","6.695","0.822",86.6025403784447,0.012
"143","7267","98","64","0","15.792","3.321",86.6025403784409,0
"144","7268","99","64","2","25.573","5.628",86.6025403784523,0.023
"145","7269","100","64","0","32.653","12.228",28.311940036623,0
"146","7364","83","65","0","19.011","7.266",0.108385017567635,0
"147","7365","84","65","0","7.794","4.999",24.6244051098709,0
"148","7366","85","65","0","1.542","12.969",60.7032758773575,0
"149","7367","86","65","0","10.767","15.575",86.2816245850573,0
"150","7368","87","65","0","20.574","11.057",86.6025403784466,0
"151","7369","88","65","0","30.487","13.412",86.6025403784351,0
"152","7370","89","65","1","33.894","9.97",86.6025403784466,0.012
"153","7371","90","65","0","23.904","6.436",86.6025403784485,0
"154","7372","91","65","1","13.929","5.653",86.6025403784447,0.012
"155","7373","92","65","0","4.075","14.311",86.6025403784409,0
"156","7374","93","65","1","5.633","22.557",86.6025403784466,0.012
"157","7375","94","65","0","14.678","23.205",86.6025403784428,0
"158","7376","95","65","0","16.131","16.847",86.6025403784428,0
"159","7377","96","65","2","12.843","9.253",86.6025403784466,0.023
"160","7378","97","65","0","16.417","2.57",86.6025403784447,0
"161","7379","98","65","0","23.96","0.961",86.6025403784409,0
"162","7380","99","65","1","32.622","6.368",80.1419369276311,0.012
"163","7381","100","65","0","38.895","11.621",1.29492876464081,0
"164","7479","86","66","0","6.888","20.181",1.49935388444281,0
"165","7480","87","66","0","17.238","17.807",29.5416800484123,0
"166","7481","88","66","0","26.767","18.763",65.4063313851013,0
"167","7482","89","66","0","36.36","13.157",86.6025403784504,0
"168","7483","90","66","0","28.988","3.881",86.6025403784485,0
"169","7484","91","66","1","19.123","4.546",86.6025403784561,0.012
"170","7485","92","66","2","9.48","5.663",86.6025403784447,0.023
"171","7486","93","66","0","1.084","13.987",86.6025403784409,0
"172","7487","94","66","0","7.674","22.601",86.6025403784389,0
"173","7488","95","66","0","17.662","13.716",86.6025403784466,0
"174","7489","96","66","0","22.024","8.099",86.6025403784504,0
"175","7490","97","66","0","21.726","9.824",79.37315676894,0
"176","7491","98","66","1","24.823","4.821",55.1143695358429,0.018
"177","7492","99","66","0","30.622","2.942",27.3052780543842,0
"178","7493","100","66","0","38.178","10.211",4.36083616870689,0
"179","7593","88","67","0","34.068","17.805",4.40486168425751,0
"180","7594","89","67","0","32.88","11.187",34.7307426796646,0
"181","7595","90","67","0","23.655","3.648",69.8179159923115,0
"182","7596","91","67","0","14.417","4.374",86.6025403784389,0
"183","7597","92","67","0","5.745","9.089",86.6025403784428,0
"184","7598","93","67","1","1.114","18.429",85.4109266375312,0.012
"185","7599","94","67","0","10.803","16.172",65.5278761028042,0
"186","7600","95","67","0","20.601","6.968",38.0504390868111,0
"187","7601","96","67","0","26.329","4.162",12.1510847926645,0
"188","7708","91","68","0","19.374","5.915",7.86437995876884,0
"189","7709","92","68","0","12.938","3.48",39.9781373768902,0
"190","7710","93","68","0","5.19","11.463",43.4672767524548,0
"191","7711","94","68","0","5.626","19.229",1.3044861437254,0
